RK,Team,Year,G,W,L,Conf,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
2,Milwaukee Bucks*,1981,82,60,22,East,240.9,45.4,91.1,0.498,0.4,1.6,0.229,45,89.5,0.503,22,28.5,0.77,15.4,29.4,28.3,10.5,6.5,19.3,26.8,113.1
3,San Antonio Spurs*,1981,82,52,30,West,241.5,43.5,88.7,0.491,0.2,1,0.176,43.4,87.7,0.495,25,32.5,0.769,15.9,31.5,25,8.4,7.8,18.7,25.8,112.3
4,Philadelphia 76ers*,1981,82,62,20,East,242.1,44.3,86.3,0.514,0.2,1,0.226,44.1,85.2,0.518,22.7,29.6,0.768,13.3,31.9,28.9,10.5,7.2,20.8,25.1,111.7
5,Los Angeles Lakers*,1981,82,54,28,West,241.5,46.1,90,0.512,0.2,1.1,0.181,45.9,88.9,0.516,18.8,25.8,0.729,14.2,30.4,28.8,9.9,6.7,19,23.8,111.2
6,Portland Trail Blazers*,1981,82,45,37,West,242.1,45.6,91.9,0.496,0.3,1.8,0.169,45.3,90.1,0.503,19.2,26.7,0.718,15.2,29.1,27.4,9.4,5.9,18.5,24.8,110.7
7,Phoenix Suns*,1981,82,57,25,West,240.9,43.7,89.3,0.49,0.4,2,0.217,43.3,87.4,0.496,22.1,29.6,0.745,15,30.4,26.9,10.7,5.1,21.1,24.3,110
8,Boston Celtics*,1981,82,62,20,East,241.2,43.7,86.6,0.504,0.8,2.9,0.27,42.9,83.6,0.513,21.7,28.9,0.752,14.1,29.6,26.9,8.3,7.2,19.2,24.3,109.9
9,Golden State Warriors,1981,82,39,43,West,240.6,43.4,88.8,0.489,0.7,2.6,0.286,42.7,86.3,0.495,22.3,30.6,0.727,17.1,28.9,24.7,7.5,3.7,18.9,26.3,109.8
10,Chicago Bulls*,1981,82,45,37,East,241.2,42.2,84.2,0.501,0.5,2.2,0.212,41.7,82,0.508,24.2,31.3,0.774,15,30.2,23.5,8.9,6.3,20.4,25.1,109
11,Houston Rockets*,1981,82,40,42,West,241.5,43.6,89.5,0.487,0.3,1.4,0.178,43.3,88,0.492,20.9,27.1,0.77,14.8,28.6,25.6,8.6,4.8,17.7,23.2,108.3
12,New York Knicks*,1981,82,50,32,East,241.8,42.7,88.5,0.483,0.7,2.9,0.237,42.1,85.6,0.491,21.7,29.1,0.747,13.9,26.9,24.1,10.5,3.8,17.8,23.4,107.9
13,Indiana Pacers*,1981,82,44,38,East,240.6,42.6,88.4,0.482,0.4,2.1,0.178,42.2,86.3,0.489,22.1,31,0.715,16.2,27.6,25.5,10.2,5.9,18.2,24.5,107.6
14,Kansas City Kings*,1981,82,40,42,West,241.8,43.6,87.2,0.5,0.6,2,0.292,43,85.2,0.505,19.2,26.9,0.714,12.6,29.9,27.7,8.8,4.7,17.7,25.5,106.9
15,New Jersey Nets,1981,82,24,58,East,241.5,42.4,89.2,0.475,0.4,1.7,0.246,42,87.5,0.48,21.7,28.9,0.751,13.3,29,25.2,9.1,5.6,20.3,26.9,106.9
16,San Diego Clippers,1981,82,36,46,West,240.6,42.4,88.8,0.477,1.6,5,0.324,40.8,83.9,0.486,20.1,27.4,0.735,14.3,26.1,25.6,9.3,3.6,17.2,25.3,106.5
17,Cleveland Cavaliers,1981,82,28,54,East,241.2,43.4,92.8,0.467,0.9,3,0.289,42.5,89.8,0.473,18.1,23.3,0.778,15.3,27.4,24.5,7.7,3.9,17,24.3,105.7
18,Washington Bullets,1981,82,39,43,East,241.2,43.3,91.7,0.472,0.8,2.9,0.27,42.5,88.7,0.479,18.3,25.3,0.723,14.1,30.9,26.2,7.8,4.8,17.3,23.1,105.6
19,Atlanta Hawks,1981,82,31,51,East,243,40.1,83.7,0.479,0.1,1,0.122,40,82.7,0.484,24.5,31.6,0.777,14.6,27.1,22.5,9.1,5.7,19.6,27.8,104.9
20,Seattle SuperSonics,1981,82,34,48,West,241.2,40.8,87.1,0.468,0.4,1.4,0.274,40.4,85.7,0.471,22.1,29,0.763,14.2,29.7,23.7,7.7,5.3,18.6,24.2,104
21,Dallas Mavericks,1981,82,15,67,West,241.2,39.1,84.5,0.462,0.6,2,0.279,38.5,82.5,0.467,22.8,30.3,0.751,13.5,26.5,24.2,6.8,2.6,17.5,24.5,101.5
22,Utah Jazz,1981,82,28,54,West,240.6,40.6,83.2,0.488,0.5,2,0.258,40.1,81.2,0.494,19.5,25.4,0.767,11.7,28.4,23.8,7.8,4.7,17.4,25.7,101.2
23,Detroit Pistons,1981,82,21,61,East,240.9,39.5,85.2,0.463,0.2,1,0.155,39.3,84.2,0.467,20.6,28.4,0.725,14.6,25.7,22.2,10.8,6,21.5,25.9,99.7
1,Denver Nuggets*,1982,82,46,36,West,241.8,48.5,93.4,0.52,0.5,1.8,0.268,48,91.5,0.525,28.9,36.3,0.796,14,29.8,27.7,8.1,4.5,17.9,26,126.5
2,Los Angeles Lakers*,1982,82,57,25,West,242.1,47.8,92.5,0.517,0.2,1.1,0.138,47.6,91.4,0.521,18.9,26.4,0.717,15.3,30.5,28.7,10.3,6.3,17.9,24.4,114.6
3,San Antonio Spurs*,1982,82,48,34,West,240.9,45.1,92.8,0.486,0.8,3.1,0.254,44.3,89.8,0.494,22.1,28.5,0.776,15.3,30.9,27.5,7.3,6.8,15.8,27,113.1
4,Boston Celtics*,1982,82,63,19,East,241.2,44.6,89.4,0.499,0.6,2.2,0.266,44,87.2,0.505,22.2,30,0.74,15.3,30.4,25.9,8,6.9,17.7,24.6,112
5,Philadelphia 76ers*,1982,82,58,24,East,242.1,44.1,85,0.518,0.5,1.7,0.295,43.6,83.4,0.523,22.5,30.1,0.747,12.6,29.1,27.6,10.4,7.6,18,26.6,111.2
6,Detroit Pistons,1982,82,39,43,East,241.8,43.4,90.1,0.482,0.6,2.6,0.244,42.8,87.5,0.489,23.6,31.5,0.751,15.8,28.6,24.7,9,6.9,19.9,26.3,111.1
7,Utah Jazz,1982,82,25,57,West,241.2,44.9,90.8,0.494,0.3,1.2,0.227,44.6,89.6,0.498,20.9,27.8,0.751,14,28.8,23.1,8.5,4.4,17.5,26.8,110.9
8,Golden State Warriors,1982,82,45,37,West,241.2,44.5,89.6,0.496,1.1,4,0.28,43.4,85.7,0.506,20.8,29,0.717,15.6,29.9,22.2,8.4,4.8,17.4,27.1,110.9
9,Portland Trail Blazers,1982,82,42,40,West,241.2,44.3,87.6,0.505,0.4,1.7,0.207,43.9,85.9,0.511,21,29.1,0.72,13.9,28.7,25,8.6,4.5,17,24.5,109.8
10,San Diego Clippers,1982,82,17,65,West,240.9,43.3,86.6,0.5,1.2,4.1,0.293,42.1,82.5,0.511,20.6,28.5,0.723,13.8,26.8,22.9,7.8,3.6,19.1,28.7,108.5
11,Milwaukee Bucks*,1982,82,55,27,East,241.5,43.2,85.5,0.505,0.6,2,0.299,42.6,83.5,0.51,21.4,28.4,0.753,14.2,29.5,27.2,9.3,5.5,19.4,27.8,108.4
12,Seattle SuperSonics*,1982,82,52,30,West,241.8,42.7,87.5,0.488,0.5,1.9,0.248,42.3,85.7,0.494,21.3,28.8,0.74,13.5,31,25.6,8.4,5.6,16.5,25.1,107.3
13,Kansas City Kings,1982,82,30,52,West,242.4,44,88.8,0.495,0.3,1.6,0.2,43.6,87.2,0.5,18.9,26.3,0.719,13.2,27.8,25.1,9.1,4.9,18.4,28.8,107.1
14,New Jersey Nets*,1982,82,44,38,East,241.2,42.7,88.1,0.484,0.4,1.8,0.205,42.3,86.4,0.49,20.9,28.7,0.728,14.6,28.3,25.6,11.2,5.9,20.1,28,106.7
15,Chicago Bulls,1982,82,34,48,East,242.4,41.1,82,0.501,0.7,2.6,0.254,40.4,79.5,0.509,23.8,31,0.767,13.7,30.8,24.9,7.1,5.9,20,24.5,106.6
16,New York Knicks,1982,82,33,49,East,241.8,43,87.5,0.491,0.7,2.6,0.271,42.3,84.9,0.498,19.5,26.5,0.738,14.2,27.7,25.3,8.8,4.1,18.1,26.8,106.2
17,Phoenix Suns*,1982,82,46,36,West,241.8,42.8,87.1,0.491,0.7,2.1,0.31,42.1,85,0.496,19.9,26.3,0.758,13.7,30.7,27.1,9.2,5.2,18.6,24.7,106.2
18,Houston Rockets*,1982,82,46,36,West,241.2,42.7,89.8,0.476,0.6,2.1,0.284,42.1,87.7,0.48,19.8,27.1,0.729,17.1,27.9,24.1,7.9,5.2,16.1,22.8,105.9
19,Dallas Mavericks,1982,82,28,54,West,240.6,41.3,88.1,0.469,0.7,2.3,0.289,40.7,85.8,0.474,21.2,28.9,0.735,14.8,27.2,25.8,6.9,3.8,16.1,26.7,104.6
20,Washington Bullets*,1982,82,43,39,East,241.8,41.5,87.4,0.474,0.7,2.9,0.25,40.7,84.5,0.482,19.8,25.7,0.772,12.8,31.5,24.2,7.8,4.8,17,25.3,103.5
21,Cleveland Cavaliers,1982,82,15,67,East,241.5,41.5,89.4,0.464,0.3,1.7,0.182,41.2,87.8,0.47,19.9,26.6,0.747,14.5,26.5,22.8,7.7,4.4,16.1,26.7,103.2
22,Indiana Pacers,1982,82,35,47,East,241.8,40.6,87.4,0.465,1.3,3.9,0.326,39.4,83.5,0.472,19.7,26.5,0.741,13.9,28.9,23.1,9.2,6,17,24.9,102.2
23,Atlanta Hawks*,1982,82,42,40,East,242.4,39.1,82.6,0.474,0.3,1.6,0.219,38.8,81.1,0.479,22.4,29.1,0.768,13.8,28.9,22.1,7.4,5.9,16.4,27.7,101
1,Denver Nuggets*,1983,82,45,37,West,240.6,48.2,97.5,0.494,0.3,1.5,0.19,47.9,96,0.499,26.6,32.9,0.808,14.8,30.8,28.5,9.6,4.3,18.2,25.5,123.2
2,Los Angeles Lakers*,1983,82,58,24,West,240.6,48.3,91.6,0.528,0.1,1.2,0.104,48.2,90.4,0.533,18.2,24.8,0.736,15.1,29.7,30.7,10.3,5.8,19.3,23.5,115
3,San Antonio Spurs*,1983,82,53,29,West,241.2,45.1,89.5,0.504,1.1,3.8,0.305,43.9,85.8,0.512,23,30.1,0.765,15,31.7,27.6,8.2,5.7,18.3,25.5,114.3
4,Kansas City Kings,1983,82,45,37,West,241.2,45.4,91.3,0.497,0.6,2.6,0.237,44.7,88.7,0.505,22.4,30.9,0.727,15.3,29.4,26.3,9.3,5,20.6,29.7,113.8
5,Dallas Mavericks,1983,82,38,44,West,240.6,44.8,92.1,0.487,0.5,2.3,0.232,44.3,89.8,0.493,22.6,30,0.752,15.8,29,27.2,6.7,4.2,16.4,25.2,112.7
6,Detroit Pistons,1983,82,37,45,East,242.4,44.2,92.7,0.477,0.9,3.3,0.265,43.3,89.4,0.484,23.4,31.6,0.742,16,30.2,25.7,8.3,7,19,25.9,112.7
7,Boston Celtics*,1983,82,56,26,East,241.8,45.3,92,0.492,0.5,2.3,0.21,44.8,89.8,0.499,21.1,28.6,0.737,15.5,30.9,27,9.6,6.4,18.8,25.1,112.1
8,Philadelphia 76ers*,1983,82,65,17,East,241.8,43.9,88,0.499,0.3,1.3,0.229,43.6,86.6,0.503,24,32.3,0.742,16.3,31.7,24.6,9.9,7,19.8,24.9,112.1
9,Chicago Bulls,1983,82,28,54,East,242.7,43.1,89.9,0.48,0.5,2.5,0.215,42.6,87.4,0.487,24.2,32.8,0.737,15.5,30.8,25.4,8.1,4.9,21.3,26.7,111
10,Seattle SuperSonics*,1983,82,48,34,West,241.5,43.9,88.7,0.494,0.4,1.7,0.21,43.5,87.1,0.5,21.9,30,0.73,14,31.3,27.8,8.3,5.3,18.7,24,110
11,Utah Jazz,1983,82,30,52,West,240.9,43,89.5,0.48,0.5,2.2,0.24,42.5,87.3,0.486,22.5,29.8,0.756,13.3,31.1,26.5,9.2,7.3,20.5,24.6,109
12,Indiana Pacers,1983,82,20,62,East,241.8,45.2,94.2,0.48,0.6,2.9,0.212,44.6,91.3,0.488,17.6,23.3,0.758,15.8,28,26.2,9.2,5,18.7,25.4,108.7
13,Golden State Warriors,1983,82,30,52,West,241.2,44.2,91.6,0.483,0.4,1.8,0.227,43.8,89.7,0.488,19.8,26.8,0.737,15.6,27.9,24,10.4,5.2,19.6,26.1,108.6
14,San Diego Clippers,1983,82,25,57,West,241.8,44.2,93.1,0.475,0.8,3.2,0.244,43.4,89.9,0.483,19.4,26.8,0.724,17,25.7,25.5,10,5,19.5,27.9,108.6
15,Portland Trail Blazers*,1983,82,46,36,West,240.9,42.2,86.9,0.486,0.4,1.8,0.233,41.8,85,0.491,22.6,30.6,0.738,14.4,29,24.8,9.1,4.7,18.2,23.9,107.4
16,Phoenix Suns*,1983,82,53,29,West,240.6,43.4,87.3,0.497,0.5,1.9,0.253,42.9,85.4,0.502,19.8,26.7,0.743,13.3,30.7,28,9.1,6,18.8,25.1,107
17,Milwaukee Bucks*,1983,82,51,31,East,241.8,42.5,87,0.489,0.5,2.1,0.219,42.1,84.9,0.495,21.1,28,0.753,13.4,30.2,25.8,8.1,6.5,17.6,26,106.6
18,New Jersey Nets*,1983,82,49,33,East,240.3,42.8,87.1,0.492,0.4,1.8,0.201,42.4,85.3,0.498,19.8,28.1,0.705,15.4,29.6,26.1,11.1,7.2,22.8,26.4,105.8
19,Atlanta Hawks*,1983,82,43,39,East,241.2,40.9,87.1,0.469,0.5,2.3,0.239,40.3,84.9,0.475,19.3,25.7,0.751,13.9,29.7,23.7,7,8.1,17.4,24.7,101.6
20,New York Knicks*,1983,82,44,38,East,241.5,39.9,82.8,0.482,0.4,1.6,0.252,39.5,81.2,0.486,19.8,27.8,0.71,13.2,27.6,24.8,8.5,4.6,18.4,26.6,100
21,Houston Rockets,1983,82,14,68,West,240.6,40.7,90.8,0.448,0.8,3.3,0.247,39.9,87.5,0.456,17.1,23.6,0.725,14.7,27.6,23.5,7.9,5.1,19.2,26,99.3
22,Washington Bullets,1983,82,42,40,East,241.5,40.3,86.1,0.468,0.9,2.9,0.295,39.5,83.2,0.474,17.7,25.1,0.705,13.4,29.6,25,8.9,4.9,19.4,23.9,99.2
23,Cleveland Cavaliers,1983,82,23,59,East,240.9,39.7,85.3,0.465,0.4,1.5,0.25,39.3,83.8,0.469,17.4,24.2,0.721,14.3,29.4,21.2,7.5,3.5,18.8,27.3,97.1
1,Denver Nuggets*,1984,82,38,44,West,241.5,48,97.4,0.493,0.9,3.1,0.302,47,94.2,0.499,26.8,32.8,0.818,13.8,29.8,30.3,8.7,4.3,16.4,27.8,123.7
2,San Antonio Spurs,1984,82,37,45,West,243.7,47.7,94.2,0.506,1,3.2,0.3,46.7,91,0.514,24,31.8,0.755,15,30.8,28.8,8.4,6,17.6,26.2,120.3
3,Detroit Pistons*,1984,82,49,33,East,242.7,46.3,96.5,0.48,0.4,1.7,0.227,45.9,94.7,0.485,24.1,31.1,0.775,17.4,29.7,27.5,8.5,5.1,16,26.5,117.1
4,Los Angeles Lakers*,1984,82,54,28,West,241.2,47,88.4,0.532,0.7,2.8,0.257,46.3,85.7,0.54,20.9,27.7,0.754,13.4,30.5,29.9,8.9,5.8,19.2,25,115.6
5,Utah Jazz*,1984,82,45,37,West,241.2,44,88.3,0.498,1.2,3.9,0.319,42.7,84.5,0.506,25.8,33,0.781,13.4,30.8,27.2,8.5,7.4,18.4,24.1,115
6,Portland Trail Blazers*,1984,82,48,34,West,241.5,44.3,87.7,0.505,0.3,1.6,0.194,44,86.1,0.511,24.2,32.2,0.754,15.3,26.8,25.4,9.9,4.8,18.1,26,113.1
7,Boston Celtics*,1984,82,62,20,East,243.4,44.1,88.2,0.5,0.7,2.8,0.24,43.4,85.4,0.508,23.3,29.4,0.792,14.1,31,25.9,8.2,5.2,17.3,23.8,112.1
8,Phoenix Suns*,1984,82,41,41,West,241.2,44.8,88,0.509,0.9,3.5,0.254,43.9,84.5,0.52,20.4,26.9,0.759,13,28,27,8.5,4.7,17.7,26.2,111
9,San Diego Clippers,1984,82,30,52,West,240.6,44.3,89.3,0.496,0.3,1.6,0.188,44,87.8,0.502,21.8,29.6,0.736,15.9,29,24.2,6.9,4.7,18.5,24.6,110.7
10,Houston Rockets,1984,82,29,53,West,240.9,45.5,91.9,0.495,0.4,1.9,0.195,45.1,90,0.501,19.3,26.1,0.74,14.6,30.3,26.9,7.6,6.3,19,28.3,110.6
11,Dallas Mavericks*,1984,82,43,39,West,243.4,44.1,88.2,0.5,0.5,2.2,0.228,43.6,86,0.507,21.6,28.7,0.755,13.3,27.6,26.4,7.1,4.4,15.9,23.2,110.4
12,Kansas City Kings*,1984,82,38,44,West,240.9,42.9,88.2,0.486,0.6,2.3,0.275,42.2,85.9,0.492,23.6,30.4,0.777,14,27.7,27.2,8.7,4.7,18.3,26.8,110
13,New Jersey Nets*,1984,82,45,37,East,241.5,44.1,88.5,0.498,0.6,2.8,0.211,43.5,85.7,0.507,21.2,30.3,0.7,14.9,28.2,26.2,9.9,6.1,19.6,27.4,110
14,Golden State Warriors,1984,82,37,45,West,241.8,42.9,91.9,0.467,0.7,2.8,0.243,42.2,89.1,0.474,23.4,31.4,0.743,17,26.5,22.4,10.1,4.2,18.5,25.7,109.9
15,Seattle SuperSonics*,1984,82,42,40,West,241.2,42.2,86.4,0.488,0.3,1.7,0.193,41.9,84.7,0.494,23.4,30,0.78,13,28.4,27.2,7.8,4.3,16.6,23,108.1
16,Philadelphia 76ers*,1984,82,52,30,East,243.4,41.3,83.3,0.495,0.4,1.3,0.271,40.9,82,0.499,24.9,33,0.754,14.4,29,24.8,9.8,8,19.9,24.9,107.8
17,New York Knicks*,1984,82,47,35,East,242.1,41.3,83.4,0.495,0.6,2,0.285,40.7,81.4,0.5,23.7,30.6,0.775,13.3,27.2,24.9,9.8,4.4,19.4,27.8,106.9
18,Milwaukee Bucks*,1984,82,50,32,East,242.7,41.9,85,0.492,0.7,2.8,0.254,41.1,82.2,0.501,21.3,28.7,0.74,13.8,29.1,25.8,7.8,6,17.3,26.4,105.7
19,Indiana Pacers,1984,82,26,56,East,241.2,42,87,0.483,0.6,2.5,0.232,41.5,84.4,0.491,19.8,25.8,0.766,12.2,29.2,26.5,10.2,4.9,18.6,25.1,104.5
20,Chicago Bulls,1984,82,27,55,East,243.7,40.3,85,0.474,0.2,1.4,0.171,40.1,83.6,0.479,22.8,30.6,0.746,13.9,28,25.5,8.4,5.5,19.2,26.8,103.7
21,Washington Bullets*,1984,82,35,47,East,242.7,40.8,84.2,0.484,0.9,3.4,0.252,39.9,80.8,0.494,20.3,26.8,0.756,12.5,29.1,26.7,6.8,3.9,17.7,24.3,102.7
22,Cleveland Cavaliers,1984,82,28,54,East,242.1,41,88.2,0.465,0.5,2,0.262,40.5,86.2,0.47,19.7,26.6,0.743,14.8,29.1,23.5,7.7,4.6,16.2,26.9,102.3
23,Atlanta Hawks*,1984,82,40,42,East,242.1,39.4,83,0.474,0.3,1.3,0.217,39.1,81.7,0.478,22.4,29.4,0.761,13.6,27.2,22.3,7.6,6.8,16.2,25.5,101.5
1,Denver Nuggets*,1985,82,52,30,West,241.8,47.3,97.3,0.486,0.9,2.9,0.311,46.4,94.4,0.491,24.6,31.3,0.785,16.2,28.1,27.6,10.9,5.2,16.9,26.2,120
2,Los Angeles Lakers*,1985,82,62,20,West,240.9,48.2,88.5,0.545,1.1,3.6,0.305,47.1,84.9,0.555,20.8,27.2,0.763,13,31.1,31.4,8.5,5.9,18.7,23.5,118.2
3,Detroit Pistons*,1985,82,46,36,East,241.8,46.8,97.5,0.48,0.5,2.4,0.226,46.3,95.1,0.487,21.7,27.6,0.788,17.1,30.9,28.1,8.4,4.8,16.4,25.3,116
4,Portland Trail Blazers*,1985,82,42,40,West,242.4,45.2,89.9,0.503,0.6,2.5,0.252,44.6,87.5,0.51,24.4,32.5,0.751,14.7,28,27.1,10,6.3,18.1,23.9,115.5
5,Kansas City Kings,1985,82,31,51,West,240.9,44.7,88.7,0.504,0.8,2.9,0.265,43.9,85.8,0.512,24.7,31.6,0.779,14.2,28.4,28.6,8.1,3.7,19.4,26.5,114.8
6,Boston Celtics*,1985,82,63,19,East,240.3,45.4,89.3,0.508,1.3,3.8,0.356,44,85.6,0.515,22.7,28.1,0.806,13.6,32.1,27.9,7.9,5,16.2,21.7,114.8
7,San Antonio Spurs*,1985,82,41,41,West,241.2,45.1,87.8,0.513,0.7,2.5,0.272,44.4,85.4,0.52,23.9,31.4,0.763,13.7,30.1,28.2,9.2,5.4,18.8,26.6,114.8
8,Philadelphia 76ers*,1985,82,58,24,East,241.5,42,85.3,0.492,0.7,2.7,0.263,41.3,82.5,0.5,28.2,35.2,0.803,15.9,28.8,24.4,10,6.5,19.2,24,112.9
9,Houston Rockets*,1985,82,48,34,West,241.8,45.7,90.7,0.504,0.5,2.3,0.22,45.2,88.5,0.511,19.3,27.6,0.699,16.2,29.2,27.3,8.3,7.3,19.6,24.8,111.2
10,Dallas Mavericks*,1985,82,44,38,West,242.1,43.4,88.8,0.489,1.9,5.4,0.343,41.6,83.4,0.498,22.5,28.3,0.793,13.4,28.6,26.2,7,4.1,14.4,21.9,111.2
11,Milwaukee Bucks*,1985,82,59,23,East,241.5,43.5,88.5,0.491,1.1,3.6,0.303,42.4,84.9,0.499,22.8,30.2,0.757,15.3,28.7,26.4,8.4,5.9,16.9,27.3,110.9
12,Golden State Warriors,1985,82,22,60,West,242.1,42.7,92.1,0.463,1.4,4.8,0.282,41.3,87.3,0.473,23.7,30.9,0.768,16.2,26.1,21.5,9.8,3.5,17.8,26,110.4
13,New Jersey Nets*,1985,82,42,40,East,240.9,44.5,90.8,0.49,0.6,2.7,0.232,43.8,88.1,0.498,19.9,27.3,0.729,15,28.4,26.4,9.4,5.1,16.5,24.5,109.5
14,Utah Jazz*,1985,82,41,41,West,240.9,42.4,89,0.476,1.3,3.7,0.336,41.2,85.3,0.482,22.9,29.7,0.772,13.2,31.1,26.1,8.7,8.5,19.2,23.9,109
15,Chicago Bulls*,1985,82,38,44,East,241.5,42.1,84.3,0.5,0.4,2,0.18,41.8,82.3,0.507,24.2,30.8,0.784,13.1,28.9,24.3,7.6,5.7,17.8,25.3,108.7
16,Cleveland Cavaliers*,1985,82,36,46,East,241.2,42.3,89.8,0.471,1.2,4.1,0.287,41.1,85.7,0.48,22.8,30.4,0.749,14.7,29.8,25.6,7.6,5.8,16.9,26.5,108.6
17,Indiana Pacers,1985,82,22,60,East,241.2,42.5,89.3,0.476,0.4,1.9,0.194,42.2,87.4,0.482,22.8,30.7,0.744,14.6,32,23.7,7.6,4.5,19.8,27.3,108.3
18,Phoenix Suns*,1985,82,36,46,West,241.5,42.8,87.1,0.491,1.1,3.7,0.283,41.7,83.4,0.5,21.4,27.8,0.771,12.5,29.6,28.5,8.9,4.3,19.3,24.8,108
